Id,EntityType,EntityId,LastModifiedAt,ChangeReason
--,----------,--------,--------------,------------
6,orderitem,3DD79592-4347-4C41-8F77-E545AB5CCE0F:895:2:1,2025-07-25 20:44:17.2630000,item_deleted
3,order,3DD79592-4347-4C41-8F77-E545AB5CCE0F:895:2,2025-07-25 20:44:17.3100000,order_deleted
5,shift,895,2025-07-25 20:44:17.3530000,shift_updated
7,shift,896,2025-07-25 21:05:49.5800000,shift_updated
8,shift,897,2025-07-25 21:22:27.3030000,shift_updated
9,shift,898,2025-07-25 21:24:18.1400000,shift_updated
10,shift,899,2025-07-25 21:28:04.9130000,shift_updated
13,order,3DD79592-4347-4C41-8F77-E545AB5CCE0F:0:4,2025-07-25 21:34:00.5770000,order_deleted
12,order,3DD79592-4347-4C41-8F77-E545AB5CCE0F:0:3,2025-07-25 21:34:06.5730000,order_deleted
11,shift,900,2025-07-25 21:44:21.3400000,shift_updated
17,orderitem,3DD79592-4347-4C41-8F77-E545AB5CCE0F:901:1:1,2025-07-28 16:17:48.2900000,item_deleted
16,order,3DD79592-4347-4C41-8F77-E545AB5CCE0F:901:1,2025-07-28 16:17:48.3930000,order_deleted
14,shift,901,2025-07-28 16:17:48.4300000,shift_updated
18,shift,902,2025-07-29 14:54:14.6600000,shift_updated
19,shift,903,2025-09-15 22:53:06.9370000,shift_updated
20,shift,904,2025-09-16 13:18:35.5130000,shift_updated
24,orderitem,3DD79592-4347-4C41-8F77-E545AB5CCE0F:0:1:2,2025-09-20 18:16:39.7400000,item_deleted
25,orderitem,3DD79592-4347-4C41-8F77-E545AB5CCE0F:905:2:2,2025-09-20 19:53:45.2700000,item_deleted
26,orderitem,3DD79592-4347-4C41-8F77-E545AB5CCE0F:905:2:1,2025-09-20 19:53:45.2700000,item_deleted
23,order,3DD79592-4347-4C41-8F77-E545AB5CCE0F:905:2,2025-09-20 19:53:45.3270000,order_deleted
21,shift,905,2025-09-20 19:53:45.3800000,shift_updated
27,shift,906,2025-09-20 19:57:43.2730000,shift_created
15,orderitem,3DD79592-4347-4C41-8F77-E545AB5CCE0F:0:1:1,2025-09-20 20:05:50.6770000,item_updated
